EFTA01648599,10,mp4,video,22303638,21.27,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648599.pdf,True,yes,0,158.1,1920x1080,Video (no speech detected); 1920x1080; 2.6min
EFTA01648600,10,mp4,video,56788597,54.16,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648600.pdf,True,yes,0,137.6,1080x1920,Video (no speech detected); 1080x1920; 2.3min
EFTA01648601,10,mp4,video,53518743,51.04,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648601.pdf,True,yes,0,222.0,1080x1920,Video (no speech detected); 1080x1920; 3.7min
EFTA01648602,10,mp4,video,14512943,13.84,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648602.pdf,True,yes,0,37.1,1920x1080,Video (no speech detected); 1920x1080; 37s
EFTA01648603,10,mp4,video,142508,0.14,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648603.pdf,True,yes,0,19.0,568x320,Video (no speech detected); 568x320; 19s
EFTA01648604,10,mp4,video,27555135,26.28,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648604.pdf,True,yes,0,107.4,1080x1920,Video (no speech detected); 1080x1920; 1.8min
EFTA01648605,10,mp4,video,82796,0.08,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648605.pdf,False,,,107.4,640x480,Silent surveillance video; 640x480; 1.8min
EFTA01648606,10,mp4,video,92793,0.09,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648606.pdf,True,yes,0,19.0,320x568,Video (no speech detected); 320x568; 19s
EFTA01648607,10,mp4,video,88261,0.08,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648607.pdf,True,yes,0,19.0,320x568,Video (no speech detected); 320x568; 19s
EFTA01648608,10,mp4,video,492204,0.47,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648608.pdf,True,yes,0,36.8,480x640,Video (no speech detected); 480x640; 37s
EFTA01648609,10,mp4,video,144995,0.14,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648609.pdf,True,yes,0,11.2,720x1280,Video (no speech detected); 720x1280; 11s
EFTA01648610,10,mp4,video,49675,0.05,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648610.pdf,False,,,12.8,720x1280,Silent surveillance video; 720x1280; 13s
EFTA01648611,10,mp4,video,2883378,2.75,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648611.pdf,True,yes,0,39.6,488x960,Video (no speech detected); 488x960; 40s
EFTA01648612,10,mp4,video,100135,0.1,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648612.pdf,True,yes,0,18.0,320x568,Video (no speech detected); 320x568; 18s
EFTA01648613,10,mp4,video,313025,0.3,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648613.pdf,True,yes,0,19.0,320x568,Video (no speech detected); 320x568; 19s
EFTA01648614,10,mp4,video,900008,0.86,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648614.pdf,True,yes,9,12.5,720x1282,Video with speech (9 words transcribed); 720x1282; 12s
EFTA01648615,10,mp4,video,11604904,11.07,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648615.pdf,True,yes,0,31.6,1080x1920,Video (no speech detected); 1080x1920; 32s
EFTA01648616,10,mp4,video,2967300,2.83,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648616.pdf,True,yes,0,18.6,1080x1920,Video (no speech detected); 1080x1920; 19s
EFTA01648617,10,mp4,video,10985802,10.48,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648617.pdf,True,yes,0,68.2,720x1280,Video (no speech detected); 720x1280; 1.1min
EFTA01648618,10,mp4,video,1805892,1.72,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648618.pdf,True,yes,0,31.5,720x1280,Video (no speech detected); 720x1280; 32s
EFTA01648619,10,mp4,video,463645,0.44,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648619.pdf,True,yes,0,2.0,960x720,Video (no speech detected); 960x720; 2s
EFTA01648620,10,mp4,video,66445467,63.37,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648620.pdf,True,yes,0,189.6,1920x1080,Video (no speech detected); 1920x1080; 3.2min
EFTA01648621,10,mp4,video,2813093,2.68,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648621.pdf,True,yes,0,46.0,720x1280,Video (no speech detected); 720x1280; 46s
EFTA01648622,10,mp4,video,496517,0.47,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648622.pdf,True,yes,0,10.9,480x270,Video (no speech detected); 480x270; 11s
EFTA01648623,10,mp4,video,4963812,4.73,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648623.pdf,True,yes,0,8.0,1080x1920,Video (no speech detected); 1080x1920; 8s
EFTA01648624,10,mp4,video,361876,0.35,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648624.pdf,True,yes,0,2.8,720x960,Video (no speech detected); 720x960; 3s
EFTA01648625,10,mp4,video,124170723,118.42,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648625.pdf,True,yes,0,179.6,1080x1920,Video (no speech detected); 1080x1920; 3.0min
EFTA01648626,10,mp4,video,139197,0.13,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648626.pdf,True,yes,0,13.1,568x320,Video (no speech detected); 568x320; 13s
EFTA01648627,10,mp4,video,157627,0.15,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648627.pdf,True,yes,0,15.1,568x320,Video (no speech detected); 568x320; 15s
EFTA01648628,10,mp4,video,182821,0.17,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648628.pdf,True,yes,0,18.1,320x568,Video (no speech detected); 320x568; 18s
EFTA01648629,10,mp4,video,673986,0.64,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648629.pdf,True,yes,0,27.3,480x640,Video (no speech detected); 480x640; 27s
EFTA01648630,10,mp4,video,348752,0.33,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648630.pdf,True,yes,0,1.0,720x1280,Video (no speech detected); 720x1280; 1s
EFTA01648631,10,mp4,video,162681,0.16,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648631.pdf,True,yes,6,14.5,720x1280,Video with speech (6 words transcribed); 720x1280; 14s
EFTA01648632,10,mp4,video,808045,0.77,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648632.pdf,True,yes,0,2.9,568x320,Video (no speech detected); 568x320; 3s
EFTA01648633,10,mp4,video,242130,0.23,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648633.pdf,True,yes,0,18.0,320x568,Video (no speech detected); 320x568; 18s
EFTA01648634,10,mp4,video,3861802,3.68,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648634.pdf,True,yes,4,54.4,720x1280,Video with speech (4 words transcribed); 720x1280; 54s
EFTA01648635,10,mp4,video,1203679,1.15,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648635.pdf,True,yes,4,54.1,272x480,Video with speech (4 words transcribed); 272x480; 54s
EFTA01648636,10,mp4,video,638751,0.61,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648636.pdf,True,yes,1,36.6,272x480,Video with speech (1 words transcribed); 272x480; 37s
EFTA01648637,10,mp4,video,42703,0.04,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648637.pdf,False,,,54.3,640x480,Silent surveillance video; 640x480; 54s
