EFTA01683337,10,mp4,video,3645310,3.48,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683337.pdf,True,yes,0,13.6,272x480,Video (no speech detected); 272x480; 14s
EFTA01683338,10,mp4,video,6768486,6.45,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683338.pdf,True,yes,0,26.2,720x1280,Video (no speech detected); 720x1280; 26s
EFTA01683339,10,mp4,video,2396173,2.29,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683339.pdf,True,yes,0,17.5,1280x720,Video (no speech detected); 1280x720; 18s
EFTA01683340,10,mp4,video,8542169,8.15,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683340.pdf,True,yes,0,19.5,720x1280,Video (no speech detected); 720x1280; 20s
EFTA01683341,10,mp4,video,5108907,4.87,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683341.pdf,True,yes,0,33.9,720x1280,Video (no speech detected); 720x1280; 34s
EFTA01683342,10,mp4,video,124546,0.12,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683342.pdf,True,yes,0,17.4,192x108,Video (no speech detected); 192x108; 17s
EFTA01683343,10,mp4,video,91544,0.09,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683343.pdf,True,yes,0,13.7,176x320,Video (no speech detected); 176x320; 14s
EFTA01683344,10,mp4,video,96676,0.09,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683344.pdf,True,yes,0,11.9,180x320,Video (no speech detected); 180x320; 12s
EFTA01683345,10,mp4,video,4676168,4.46,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683345.pdf,True,yes,0,41.7,1280x720,Video (no speech detected); 1280x720; 42s
EFTA01683346,10,mp4,video,1990195,1.9,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683346.pdf,True,yes,5,8.6,720x720,Video with speech (5 words transcribed); 720x720; 9s
EFTA01683347,10,mp4,video,681276,0.65,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683347.pdf,True,yes,0,6.3,1280x720,Video (no speech detected); 1280x720; 6s
EFTA01683348,10,mp4,video,169040,0.16,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683348.pdf,True,yes,0,2.6,364x640,Video (no speech detected); 364x640; 3s
EFTA01683349,10,mp4,video,675829,0.64,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683349.pdf,True,yes,0,41.3,352x640,Video (no speech detected); 352x640; 41s
EFTA01683350,10,mp4,video,1711853,1.63,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683350.pdf,True,yes,0,14.3,720x1280,Video (no speech detected); 720x1280; 14s
EFTA01683351,10,mp4,video,156303,0.15,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683351.pdf,True,yes,14,3.8,480x848,Video with speech (14 words transcribed); 480x848; 4s
EFTA01683352,10,mp4,video,335518,0.32,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683352.pdf,True,yes,0,8.0,364x640,Video (no speech detected); 364x640; 8s
EFTA01683353,10,mp4,video,2553049,2.43,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683353.pdf,True,yes,0,97.0,480x272,Video (no speech detected); 480x272; 1.6min
EFTA01683354,10,mp4,video,869123,0.83,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683354.pdf,True,yes,0,6.2,720x1280,Video (no speech detected); 720x1280; 6s
EFTA01683355,10,mp4,video,3523347,3.36,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683355.pdf,True,yes,3,22.5,848x480,Video with speech (3 words transcribed); 848x480; 22s
EFTA01683356,10,mp4,video,2339892,2.23,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683356.pdf,True,yes,0,14.6,1080x1920,Video (no speech detected); 1080x1920; 15s
EFTA01683357,10,mp4,video,2081284,1.98,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683357.pdf,True,yes,0,60.0,720x1280,Video (no speech detected); 720x1280; 1.0min
EFTA01683358,10,mp4,video,2440249,2.33,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683358.pdf,True,yes,0,97.0,480x272,Video (no speech detected); 480x272; 1.6min
EFTA01683359,10,mp4,video,846467,0.81,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683359.pdf,True,yes,1,8.6,640x640,Video with speech (1 words transcribed); 640x640; 9s
EFTA01683360,10,mp4,video,537083,0.51,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683360.pdf,True,yes,0,1.9,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683361,10,mp4,video,612218,0.58,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683361.pdf,True,yes,0,1.8,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683362,10,mp4,video,786180,0.75,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683362.pdf,True,yes,0,2.9,720x1280,Video (no speech detected); 720x1280; 3s
EFTA01683363,10,mp4,video,926291,0.88,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683363.pdf,True,yes,0,2.8,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683364,10,mp4,video,985816,0.94,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683364.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683365,10,mp4,video,875673,0.84,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683365.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683366,10,mp4,video,934652,0.89,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683366.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683367,10,mp4,video,890297,0.85,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683367.pdf,True,yes,2,2.8,1080x1440,Video with speech (2 words transcribed); 1080x1440; 3s
EFTA01683368,10,mp4,video,951127,0.91,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683368.pdf,True,yes,4,3.0,1080x1440,Video with speech (4 words transcribed); 1080x1440; 3s
EFTA01683369,10,mp4,video,2020758,1.93,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683369.pdf,True,yes,0,3.2,1440x1080,Video (no speech detected); 1440x1080; 3s
EFTA01683370,10,mp4,video,611390,0.58,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683370.pdf,True,yes,0,1.9,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683371,10,mp4,video,1050863,1.0,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683371.pdf,True,yes,0,1.8,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683372,10,mp4,video,149385,0.14,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683372.pdf,True,yes,0,1.7,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683373,10,mp4,video,2464959,2.35,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683373.pdf,True,yes,0,29.1,720x1280,Video (no speech detected); 720x1280; 29s
EFTA01683374,10,mp4,video,2464959,2.35,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683374.pdf,True,yes,0,29.1,720x1280,Video (no speech detected); 720x1280; 29s
EFTA01683375,10,mp4,video,960431,0.92,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683375.pdf,True,yes,0,3.0,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683376,10,mp4,video,1205095,1.15,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683376.pdf,False,,,5.7,720x1280,Silent surveillance video; 720x1280; 6s
EFTA01683377,10,mp4,video,210527,0.2,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683377.pdf,False,,,5.0,540x960,Silent surveillance video; 540x960; 5s
EFTA01683378,10,mp4,video,652533,0.62,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683378.pdf,True,yes,0,1.9,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683379,10,mp4,video,6031805,5.75,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683379.pdf,True,yes,0,14.1,720x1280,Video (no speech detected); 720x1280; 14s
EFTA01683380,10,mp4,video,3329478,3.18,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683380.pdf,True,yes,0,15.0,720x1280,Video (no speech detected); 720x1280; 15s
EFTA01683381,10,mp4,video,456341,0.44,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683381.pdf,True,yes,1,2.7,1080x1440,Video with speech (1 words transcribed); 1080x1440; 3s
EFTA01683382,10,mp4,video,2348894,2.24,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683382.pdf,True,yes,0,3.0,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683383,10,mp4,video,257992,0.25,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683383.pdf,True,yes,0,0.6,1080x1440,Video (no speech detected); 1080x1440; 1s
EFTA01683384,10,mp4,video,734772,0.7,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683384.pdf,True,yes,0,1.9,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683385,10,mp4,video,480502,0.46,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683385.pdf,True,yes,2,1.5,1248x936,Video with speech (2 words transcribed); 1248x936; 2s
EFTA01683386,10,mp4,video,4245700,4.05,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683386.pdf,True,yes,3,14.7,720x1280,Video with speech (3 words transcribed); 720x1280; 15s
EFTA01683387,10,mp4,video,16207439,15.46,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683387.pdf,True,yes,45,42.0,1280x720,Video with speech (45 words transcribed); 1280x720; 42s
EFTA01683388,10,mp4,video,809808,0.77,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683388.pdf,True,yes,2,2.8,1080x1440,Video with speech (2 words transcribed); 1080x1440; 3s
EFTA01683389,10,mp4,video,361832,0.35,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683389.pdf,True,yes,0,1.9,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683390,10,mp4,video,532654,0.51,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683390.pdf,True,yes,0,2.0,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683391,10,mp4,video,4504708,4.3,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683391.pdf,True,yes,0,53.2,720x720,Video (no speech detected); 720x720; 53s
EFTA01683392,10,mp4,video,710160,0.68,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683392.pdf,True,yes,0,2.8,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683393,10,mp4,video,772465,0.74,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683393.pdf,True,yes,0,2.0,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683394,10,mp4,video,11043815,10.53,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683394.pdf,True,yes,0,65.8,1280x720,Video (no speech detected); 1280x720; 1.1min
EFTA01683395,10,mp4,video,678046,0.65,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683395.pdf,True,yes,0,0.9,1080x1440,Video (no speech detected); 1080x1440; 1s
EFTA01683396,10,mp4,video,714630,0.68,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683396.pdf,True,yes,0,1.8,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683397,10,mp4,video,1070299,1.02,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683397.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683398,10,mp4,video,313984,0.3,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683398.pdf,True,yes,0,2.6,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683399,10,mp4,video,825515,0.79,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683399.pdf,True,yes,9,2.9,640x480,Video with speech (9 words transcribed); 640x480; 3s
EFTA01683400,10,mp4,video,3800759,3.62,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683400.pdf,True,yes,0,35.1,720x1280,Video (no speech detected); 720x1280; 35s
EFTA01683401,10,mp4,video,417984,0.4,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683401.pdf,True,yes,0,2.6,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683402,10,mp4,video,1226684,1.17,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683402.pdf,True,yes,0,2.0,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683403,10,mp4,video,272722,0.26,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683403.pdf,True,yes,0,2.8,960x720,Video (no speech detected); 960x720; 3s
EFTA01683404,10,mp4,video,188492,0.18,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683404.pdf,True,yes,7,2.8,1080x1440,Video with speech (7 words transcribed); 1080x1440; 3s
EFTA01683405,10,mp4,video,369854,0.35,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683405.pdf,True,yes,5,2.8,1080x1440,Video with speech (5 words transcribed); 1080x1440; 3s
EFTA01683406,10,mp4,video,144487,0.14,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683406.pdf,True,yes,0,8.3,320x568,Video (no speech detected); 320x568; 8s
EFTA01683407,10,mp4,video,129727,0.12,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683407.pdf,True,yes,0,1.9,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683408,10,mp4,video,14117637,13.46,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683408.pdf,True,yes,0,93.4,1280x720,Video (no speech detected); 1280x720; 1.6min
EFTA01683409,10,mp4,video,551074,0.53,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683409.pdf,True,yes,2,1.6,1080x1440,Video with speech (2 words transcribed); 1080x1440; 2s
EFTA01683410,10,mp4,video,911760,0.87,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683410.pdf,True,yes,8,9.4,480x848,Video with speech (8 words transcribed); 480x848; 9s
EFTA01683411,10,mp4,video,510246,0.49,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683411.pdf,True,yes,0,2.0,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683412,10,mp4,video,351740,0.34,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683412.pdf,True,yes,8,2.9,1080x1440,Video with speech (8 words transcribed); 1080x1440; 3s
EFTA01683413,10,mp4,video,234544,0.22,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683413.pdf,True,yes,0,2.9,480x640,Video (no speech detected); 480x640; 3s
EFTA01683414,10,mp4,video,552440,0.53,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683414.pdf,True,yes,1,1.9,1080x1440,Video with speech (1 words transcribed); 1080x1440; 2s
EFTA01683415,10,mp4,video,756389,0.72,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683415.pdf,True,yes,4,2.0,1080x1440,Video with speech (4 words transcribed); 1080x1440; 2s
EFTA01683416,10,mp4,video,577366,0.55,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683416.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683417,10,mp4,video,5262305,5.02,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683417.pdf,True,yes,0,25.5,720x1280,Video (no speech detected); 720x1280; 26s
EFTA01683418,10,mp4,video,209201,0.2,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683418.pdf,True,yes,1,2.8,1080x1440,Video with speech (1 words transcribed); 1080x1440; 3s
EFTA01683419,10,mp4,video,1114555,1.06,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683419.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683420,10,mp4,video,947029,0.9,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683420.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683421,10,mp4,video,806334,0.77,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683421.pdf,True,yes,1,9.5,480x848,Video with speech (1 words transcribed); 480x848; 10s
EFTA01683422,10,mp4,video,4363199,4.16,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683422.pdf,True,yes,0,14.5,1280x720,Video (no speech detected); 1280x720; 14s
EFTA01683423,10,mp4,video,9546545,9.1,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683423.pdf,True,yes,3,37.1,1280x720,Video with speech (3 words transcribed); 1280x720; 37s
EFTA01683424,10,mp4,video,6011637,5.73,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683424.pdf,True,yes,0,51.8,540x960,Video (no speech detected); 540x960; 52s
EFTA01683425,10,mp4,video,953203,0.91,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683425.pdf,True,yes,5,2.9,1080x1440,Video with speech (5 words transcribed); 1080x1440; 3s
EFTA01683426,10,mp4,video,579274,0.55,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683426.pdf,True,yes,4,3.0,1080x1440,Video with speech (4 words transcribed); 1080x1440; 3s
EFTA01683427,10,mp4,video,921727,0.88,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683427.pdf,True,yes,0,1.9,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683428,10,mp4,video,1326564,1.27,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683428.pdf,True,yes,0,12.3,488x960,Video (no speech detected); 488x960; 12s
EFTA01683429,10,mp4,video,1034048,0.99,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683429.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683430,10,mp4,video,775023,0.74,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683430.pdf,True,yes,2,2.9,480x640,Video with speech (2 words transcribed); 480x640; 3s
EFTA01683431,10,mp4,video,974616,0.93,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683431.pdf,True,yes,0,2.8,1308x980,Video (no speech detected); 1308x980; 3s
EFTA01683432,10,mp4,video,15411754,14.7,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683432.pdf,True,yes,40,58.3,720x1280,Video with speech (40 words transcribed); 720x1280; 58s
EFTA01683433,10,mp4,video,750515,0.72,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683433.pdf,True,yes,7,2.9,1080x1440,Video with speech (7 words transcribed); 1080x1440; 3s
EFTA01683434,10,mp4,video,757788,0.72,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683434.pdf,True,yes,0,7.0,720x1280,Video (no speech detected); 720x1280; 7s
EFTA01683435,10,mp4,video,625596,0.6,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683435.pdf,True,yes,4,2.8,1080x1440,Video with speech (4 words transcribed); 1080x1440; 3s
EFTA01683436,10,mp4,video,9943264,9.48,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683436.pdf,True,yes,0,36.9,720x1280,Video (no speech detected); 720x1280; 37s
EFTA01683437,10,mp4,video,4096346,3.91,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683437.pdf,True,yes,0,15.9,720x1280,Video (no speech detected); 720x1280; 16s
EFTA01683438,10,mp4,video,64112,0.06,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683438.pdf,True,yes,0,1.7,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683439,10,mp4,video,7053676,6.73,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683439.pdf,True,yes,0,16.8,720x1280,Video (no speech detected); 720x1280; 17s
EFTA01683440,10,mp4,video,426185,0.41,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683440.pdf,True,yes,0,2.0,720x960,Video (no speech detected); 720x960; 2s
EFTA01683441,10,mp4,video,609981,0.58,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683441.pdf,True,yes,0,1.8,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683442,10,mp4,video,874693,0.83,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683442.pdf,True,yes,4,2.7,1080x1440,Video with speech (4 words transcribed); 1080x1440; 3s
EFTA01683443,10,mp4,video,911002,0.87,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683443.pdf,True,yes,0,2.6,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683444,10,mp4,video,938735,0.9,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683444.pdf,True,yes,4,2.8,1080x1440,Video with speech (4 words transcribed); 1080x1440; 3s
EFTA01683445,10,mp4,video,3277879,3.13,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683445.pdf,True,yes,0,25.9,720x1280,Video (no speech detected); 720x1280; 26s
EFTA01683446,10,mp4,video,696019,0.66,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683446.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683447,10,mp4,video,971332,0.93,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683447.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683448,10,mp4,video,868806,0.83,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683448.pdf,True,yes,0,3.5,1080x1440,Video (no speech detected); 1080x1440; 4s
EFTA01683449,10,mp4,video,473316,0.45,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683449.pdf,True,yes,2,2.5,1080x1440,Video with speech (2 words transcribed); 1080x1440; 2s
EFTA01683450,10,mp4,video,2662851,2.54,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683450.pdf,True,yes,0,42.1,1280x720,Video (no speech detected); 1280x720; 42s
EFTA01683451,10,mp4,video,746445,0.71,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683451.pdf,True,yes,0,2.7,480x640,Video (no speech detected); 480x640; 3s
EFTA01683452,10,mp4,video,631569,0.6,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683452.pdf,True,yes,0,1.9,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683453,10,mp4,video,593471,0.57,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683453.pdf,True,yes,0,2.6,720x1280,Video (no speech detected); 720x1280; 3s
EFTA01683454,10,mp4,video,719513,0.69,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683454.pdf,True,yes,1,2.7,1080x1440,Video with speech (1 words transcribed); 1080x1440; 3s
EFTA01683455,10,mp4,video,473316,0.45,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683455.pdf,True,yes,2,2.5,1080x1440,Video with speech (2 words transcribed); 1080x1440; 2s
EFTA01683456,10,mp4,video,2627617,2.51,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683456.pdf,True,yes,0,92.1,854x480,Video (no speech detected); 854x480; 1.5min
EFTA01683457,10,mp4,video,9657614,9.21,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683457.pdf,True,yes,0,35.4,720x1280,Video (no speech detected); 720x1280; 35s
EFTA01683458,10,mp4,video,842876,0.8,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683458.pdf,True,yes,0,3.0,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683459,10,mp4,video,1158006,1.1,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683459.pdf,True,yes,6,2.9,1080x1440,Video with speech (6 words transcribed); 1080x1440; 3s
EFTA01683460,10,mp4,video,775047,0.74,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683460.pdf,True,yes,4,3.0,1080x1440,Video with speech (4 words transcribed); 1080x1440; 3s
EFTA01683461,10,mp4,video,1479525,1.41,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683461.pdf,True,yes,0,8.3,720x1280,Video (no speech detected); 720x1280; 8s
EFTA01683462,10,mp4,video,309896,0.3,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683462.pdf,True,yes,0,34.9,128x224,Video (no speech detected); 128x224; 35s
EFTA01683463,10,mp4,video,839809,0.8,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683463.pdf,True,yes,0,2.9,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683464,10,mp4,video,2958569,2.82,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683464.pdf,True,yes,0,19.6,720x1280,Video (no speech detected); 720x1280; 20s
EFTA01683465,10,mp4,video,230387,0.22,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683465.pdf,True,yes,0,2.6,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683466,10,mp4,video,300352,0.29,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683466.pdf,True,yes,0,1.8,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683467,10,mp4,video,546470,0.52,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683467.pdf,True,yes,0,2.0,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683468,10,mp4,video,3313495,3.16,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683468.pdf,True,yes,0,15.4,720x1280,Video (no speech detected); 720x1280; 15s
EFTA01683469,10,mp4,video,2405139,2.29,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683469.pdf,True,yes,1,3.0,1080x1440,Video with speech (1 words transcribed); 1080x1440; 3s
EFTA01683470,10,mp4,video,326875,0.31,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683470.pdf,True,yes,0,0.8,1080x1440,Video (no speech detected); 1080x1440; 1s
EFTA01683471,10,mp4,video,340553,0.32,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683471.pdf,True,yes,0,3.7,540x960,Video (no speech detected); 540x960; 4s
EFTA01683472,10,mp4,video,723826,0.69,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683472.pdf,True,yes,0,2.7,480x640,Video (no speech detected); 480x640; 3s
EFTA01683473,10,mp4,video,495046,0.47,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683473.pdf,True,yes,5,2.2,1080x1440,Video with speech (5 words transcribed); 1080x1440; 2s
EFTA01683474,10,mp4,video,315198,0.3,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683474.pdf,True,yes,0,8.1,320x568,Video (no speech detected); 320x568; 8s
EFTA01683475,10,mp4,video,839077,0.8,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683475.pdf,True,yes,0,2.5,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683476,10,mp4,video,2034603,1.94,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683476.pdf,True,yes,0,2.5,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683477,10,mp4,video,1067849,1.02,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683477.pdf,True,yes,5,2.9,1080x1440,Video with speech (5 words transcribed); 1080x1440; 3s
EFTA01683478,10,mp4,video,354701,0.34,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683478.pdf,True,yes,0,0.9,1080x1440,Video (no speech detected); 1080x1440; 1s
EFTA01683479,10,mp4,video,1141621,1.09,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683479.pdf,True,yes,0,31.4,1280x720,Video (no speech detected); 1280x720; 31s
EFTA01683480,10,mp4,video,2018593,1.93,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683480.pdf,True,yes,2,3.0,1080x1440,Video with speech (2 words transcribed); 1080x1440; 3s
EFTA01683481,10,mp4,video,1634373,1.56,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683481.pdf,True,yes,3,7.2,720x1280,Video with speech (3 words transcribed); 720x1280; 7s
