EFTA00279980,9,avi,video,43520,0.04,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279980.pdf,False,,,0.1,320x240,Silent surveillance video; 320x240; 0s
EFTA00279981,9,avi,video,15872,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279981.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279982,9,avi,video,13312,0.01,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279982.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279983,9,avi,video,19456,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279983.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279984,9,avi,video,3072,0.0,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279984.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279985,9,avi,video,17408,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279985.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279986,9,avi,video,17408,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279986.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279987,9,avi,video,17408,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279987.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279988,9,avi,video,18432,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279988.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279989,9,avi,video,16896,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279989.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279990,9,avi,video,16896,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279990.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279991,9,avi,video,16896,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279991.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279992,9,avi,video,16384,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279992.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279993,9,avi,video,16896,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279993.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279994,9,avi,video,16384,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279994.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
EFTA00279995,9,avi,video,16896,0.02,https://www.justice.gov/epstein/files/DataSet%209/EFTA00279995.pdf,False,,,0.0,320x240,Silent surveillance video; 320x240
