efta_number,dataset,extension,category,file_size_bytes,file_size_mb,doj_pdf_link,has_audio,has_transcript,transcript_word_count,duration_seconds,video_resolution,brief_description
EFTA01621080,10,mov,video,2372960,2.26,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621080.pdf,True,yes,0,2.0,1440x1080,Video (no speech detected); 1440x1080; 2s
EFTA01621081,10,mov,video,2009201,1.92,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621081.pdf,True,yes,1,2.4,1440x1080,Video with speech (1 words transcribed); 1440x1080; 2s
EFTA01621082,10,mov,video,1592426,1.52,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621082.pdf,True,yes,0,1.9,1440x1080,Video (no speech detected); 1440x1080; 2s
EFTA01621083,10,mov,video,2483906,2.37,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621083.pdf,True,yes,0,2.9,1440x1080,Video (no speech detected); 1440x1080; 3s
EFTA01621084,10,mov,video,1649645,1.57,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621084.pdf,True,yes,0,2.0,1440x1080,Video (no speech detected); 1440x1080; 2s
EFTA01621085,10,mov,video,2407790,2.3,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621085.pdf,True,yes,0,2.8,1440x1080,Video (no speech detected); 1440x1080; 3s
EFTA01621086,10,mov,video,2062003,1.97,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621086.pdf,True,yes,0,2.3,1440x1080,Video (no speech detected); 1440x1080; 2s
EFTA01621087,10,mov,video,2099597,2.0,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621087.pdf,True,yes,0,2.4,1440x1080,Video (no speech detected); 1440x1080; 2s
EFTA01621088,10,mov,video,2099597,2.0,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621088.pdf,True,yes,0,2.4,1440x1080,Video (no speech detected); 1440x1080; 2s
EFTA01621089,10,mov,video,1999546,1.91,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621089.pdf,True,yes,0,2.3,1440x1080,Video (no speech detected); 1440x1080; 2s
EFTA01621090,10,mov,video,2396413,2.29,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621090.pdf,True,yes,0,2.8,1440x1080,Video (no speech detected); 1440x1080; 3s
EFTA01621091,10,mov,video,796834,0.76,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621091.pdf,True,yes,0,1.0,1440x1080,Video (no speech detected); 1440x1080; 1s
EFTA01621092,10,mov,video,1145458,1.09,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621092.pdf,True,yes,0,1.3,1440x1080,Video (no speech detected); 1440x1080; 1s
EFTA01621093,10,mov,video,2468926,2.35,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621093.pdf,True,yes,0,2.2,1440x1080,Video (no speech detected); 1440x1080; 2s
EFTA01621094,10,mov,video,1872193,1.79,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621094.pdf,True,yes,0,1.5,1440x1080,Video (no speech detected); 1440x1080; 2s
EFTA01621095,10,mov,video,1602552,1.53,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621095.pdf,True,yes,0,2.0,1440x1080,Video (no speech detected); 1440x1080; 2s
EFTA01621096,10,mov,video,1938575,1.85,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621096.pdf,True,yes,0,2.0,1440x1080,Video (no speech detected); 1440x1080; 2s
EFTA01621097,10,mov,video,3472602,3.31,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621097.pdf,True,yes,0,2.9,1440x1080,Video (no speech detected); 1440x1080; 3s
EFTA01621098,10,mov,video,1244020,1.19,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01621098.pdf,True,yes,0,1.2,1440x1080,Video (no speech detected); 1440x1080; 1s
